Song, album, singer,group, writer, tune, src, genre, subgenre
সবারই জীবনে সুখ,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/3p6bzrg5xxt9m9qer4jui/09-sobari-jibone-sukh.mp3?rlkey=tq1h9fxocxhz9vki3p6glssx5&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
ঝর্ণা ঝর্ণা ঝর্ণারে,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/peytt6vhlsgf3spyp8hse/10-jhorna-jhorna.MP3?rlkey=axn4a547uei1w3rr3dtx1mmy9&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
পল্লী গাঁয়ের ঐ,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/6xq2kkk5sdx3h79nqmt4b/11-polli-gayenr-oi.MP3?rlkey=rcx2fnrlmsz3yjr3nqi0z56db&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
তোমাকেই ভালবেসেছি বলে,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/j3iuaa4e6f728ese4at0k/12-tomake0-val-beshechi-bole.mp3?rlkey=h25c054agn0qlsnbqy9sv4m55&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
সব হৃদয়ের মালিক,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/fx2clxpid9ghqrntr9jzg/13-sob-hridoyer-malik.mp3?rlkey=98eghyzislrfyv97sy1fgoc4y&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
আমাকে শহীদ করে,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/86c2eyf8pvf01w85wxj5z/14-amake-shahid-kore.MP3?rlkey=hw0cxmpridhxl38qy0rcxjtou&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
ঝর্ণার পাশে দাঁড়ালে,তোমাকেই শুধু মনে হয়,NA,সাইমুম শিল্পী গোষ্ঠী,NA,NA,https://www.dropbox.com/s/qp0thihc5n853qs/01%20Jharnar%20Pashe.mp3?dl=1,অনির্দিষ্ট,অনির্দিষ্ট
নীল আকাশে লক্ষ,তোমাকেই শুধু মনে হয়,NA,সাইমুম শিল্পী গোষ্ঠী,NA,NA,https://www.dropbox.com/s/q4zg9b5mbksqxvz/02%20Nil%20Akashe.mp3?dl=1,অনির্দিষ্ট,অনির্দিষ্ট
হাজার নদী মাঠ,তোমাকেই শুধু মনে হয়,NA,সাইমুম শিল্পী গোষ্ঠী,NA,NA,https://www.dropbox.com/s/gsl0ry28n4zlmxb/03%20Hajar%20Nody%20Math.mp3?dl=1,অনির্দিষ্ট,অনির্দিষ্ট
লক্ষ তারার মাঝে,তোমাকেই শুধু মনে হয়,NA,সাইমুম শিল্পী গোষ্ঠী,NA,NA,https://www.dropbox.com/s/1f1t6mkj05z1r97/04%20Lokkho%20Tarar.mp3?dl=1,অনির্দিষ্ট,অনির্দিষ্ট
